URL,Rating,Review Count
https://www.amazon.in/dp/B08PYW2141?ref=myi_title_dp,4.1 out of 5,13 global ratings
https://www.amazon.in/dp/B0CKFDSWWZ,3.7 out of 5,13 global ratings
https://www.amazon.in/dp/B0BLH7XJKP,3.4 out of 5,13 global ratings
https://www.amazon.in/dp/B0B749VCR8?ref=myi_title_dp,3.3 out of 5,12 global ratings
https://www.amazon.in/dp/B07M6KY278?ref=myi_title_dp,3.8 out of 5,12 global ratings
https://www.amazon.in/dp/B0CJMH3V64,4.4 out of 5,11 global ratings
https://www.amazon.in/dp/B0CL4XVFNY,4.1 out of 5,11 global ratings
https://www.amazon.in/dp/B08MF8D625,3.8 out of 5,11 global ratings
https://www.amazon.in/dp/B08TWKWDRJ?ref=myi_title_dp,3.6 out of 5,10 global ratings
https://www.amazon.in/dp/B092L9T64B,3.1 out of 5,10 global ratings
https://www.amazon.in/dp/B0BGPDY8T3?ref=myi_title_dp,3.4 out of 5,9 global ratings
https://www.amazon.in/dp/B0CR1JHFBW,3.3 out of 5,9 global ratings
https://www.amazon.in/dp/B0DCCB5JVX,3.3 out of 5,9 global ratings
https://www.amazon.in/dp/B0DCC53764,3.3 out of 5,9 global ratings
https://www.amazon.in/dp/B083RCJVLR,3.2 out of 5,9 global ratings
https://www.amazon.in/dp/B09WYYVLJP,3.1 out of 5,9 global ratings
https://www.amazon.in/dp/B0BN16GSQF,3.7 out of 5,8 global ratings
https://www.amazon.in/dp/B0BPGMBPZX,3.5 out of 5,8 global ratings
https://www.amazon.in/dp/B0C7W42JR5?ref=myi_title_dp,3.5 out of 5,8 global ratings
https://www.amazon.in/dp/B0BNHSFDSH,3.5 out of 5,8 global ratings
https://www.amazon.in/dp/B0B4W5GG5P?ref=myi_title_dp,3.1 out of 5,8 global ratings
https://www.amazon.in/dp/B0DCW5Y213,4.2 out of 5,8 global ratings
https://www.amazon.in/dp/B0D9LV1YSJ,4.2 out of 5,8 global ratings
https://www.amazon.in/dp/B0C3YV6FN9,2.4 out of 5,7 global ratings
https://www.amazon.in/dp/B0BP2151TZ?ref=myi_title_dp,3.6 out of 5,7 global ratings
https://www.amazon.in/dp/B0BQHP1CLP,3.6 out of 5,7 global ratings
https://www.amazon.in/dp/B0BQMC8H97,3.6 out of 5,7 global ratings
https://www.amazon.in/dp/B0CSDN1SC8,3.6 out of 5,7 global ratings
https://www.amazon.in/dp/B0D7SMC4QZ,3.6 out of 5,7 global ratings
https://www.amazon.in/dp/B08YXBDDBD?ref=myi_title_dp,3.2 out of 5,7 global ratings
https://www.amazon.in/dp/B09YD3DB17?ref=myi_title_dp,2.6 out of 5,7 global ratings
