URL,Ratings,Reviews,Product Rating,Brand,Price,XS,S,M,L,XL,XXL
https://www.flipkart.com/product/p/itme?pid=RUGG2MJWMAGZYYCR,174 ,14 ,3.5,Serein,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
https://www.flipkart.com/product/p/itme?pid=DREGJ2M5PMWQZQAG,166,5,3.4,FashFun,489,Yes,Yes,Yes,Yes,Yes,#N/A
https://www.flipkart.com/product/p/itme?pid=JUMG8459H7XZKCRZ,149 ,7 ,3.6,Serein,449,#N/A,#N/A,Yes,#N/A,#N/A,#N/A
https://www.flipkart.com/product/p/itme?pid=DREGGWZK2TGAACKF,149 ,8 ,3.4,FashFun,399,#N/A,Yes,#N/A,Yes,Yes,#N/A
https://www.flipkart.com/product/p/itme?pid=DREG4G3H6DE79GVE,148 ,18 ,3.5,Serein,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
https://www.flipkart.com/product/p/itme?pid=SHTH48Y7W5QUBH2V,148 ,2 ,3.6,FashFun,299,Yes,Yes,Yes,Yes,Yes,#N/A
https://www.flipkart.com/product/p/itme?pid=SHTH4QTDZH5VTUVP,148 ,2 ,3.6,FashFun,299,Yes,Yes,Yes,Yes,Yes,#N/A
https://www.flipkart.com/product/p/itme?pid=JUMGFGG3SJFEGCHY,142 ,9 ,3.9,Serein,449,Yes,Yes,Yes,Yes,Yes,#N/A
https://www.flipkart.com/product/p/itme?pid=AZTGZUFVQGCUUSDH,145,10,3.9,FashFun,399,Yes,Yes,Yes,Yes,Yes,#N/A
https://www.flipkart.com/product/p/itme?pid=AZTH2V2HNGERGFWA,145,10,3.9,FashFun,399,Yes,Yes,Yes,Yes,Yes,#N/A
https://www.flipkart.com/product/p/itme?pid=RUGFW66G4EAVTZPT,137 ,12 ,3.6,Serein,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
https://www.flipkart.com/product/p/itme?pid=RUGGFFY5HZZB6WZA,135 ,11 ,3.5,Serein,389,Yes,Yes,Yes,Yes,Yes,Yes
https://www.flipkart.com/product/p/itme?pid=JUMFWGBNYNSRXCRP,125 ,14 ,3.9,Serein,449,#N/A,#N/A,#N/A,Yes,#N/A,#N/A
https://www.flipkart.com/product/p/itme?pid=DREGBTFRTD4UPTGF,126 ,11 ,3.9,Serein,499,Yes,Yes,Yes,Yes,Yes,#N/A
https://www.flipkart.com/product/p/itme?pid=ETHGKZ9VFVUYXZAS,122 ,3 ,3.7,FashFun,650,Yes,Yes,Yes,Yes,Yes,#N/A
https://www.flipkart.com/product/p/itme?pid=DREGZFDYHEHWWDYK,120,14,4,FashFun,489,#N/A,#N/A,#N/A,Yes,Yes,#N/A
https://www.flipkart.com/product/p/itme?pid=DREH2TW3RZRPWVZA,126 ,9 ,3.8,FashFun,619,Yes,Yes,Yes,Yes,Yes,#N/A
https://www.flipkart.com/product/p/itme?pid=SHTGZTZZYCGEPFGS,120 ,12 ,3.9,FashFun,399,Yes,Yes,Yes,Yes,Yes,#N/A
https://www.flipkart.com/product/p/itme?pid=SHTGZTZZWRSXWB6H,120 ,12 ,3.9,FashFun,299,Yes,Yes,Yes,Yes,Yes,#N/A
https://www.flipkart.com/product/p/itme?pid=SHTGZTZZTSV3TYCQ,120 ,12 ,3.9,FashFun,299,Yes,Yes,Yes,Yes,Yes,#N/A
https://www.flipkart.com/product/p/itme?pid=SHTGZTZZF9ZYDAJB,120 ,12 ,3.9,FashFun,299,Yes,Yes,Yes,Yes,Yes,#N/A
https://www.flipkart.com/product/p/itme?pid=SHTGZTZZHTJZBVGW,120 ,12 ,3.9,FashFun,299,Yes,Yes,Yes,Yes,Yes,#N/A
https://www.flipkart.com/product/p/itme?pid=SHTGX6GZUBQSR8SV,109 ,5 ,4,FashFun,415,Yes,Yes,Yes,Yes,Yes,#N/A
https://www.flipkart.com/product/p/itme?pid=AZTGUHPJE4UPZF7C,107,6,3.4,FashFun,489,Yes,Yes,Yes,#N/A,#N/A,#N/A
https://www.flipkart.com/product/p/itme?pid=RUGG2MJWCJQPDFCH,104 ,7 ,3.4,Serein,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
https://www.flipkart.com/product/p/itme?pid=DREGGWZKKHZCJVDX,103 ,11 ,3.6,FashFun,339,#N/A,#N/A,#N/A,#N/A,Yes,#N/A
https://www.flipkart.com/product/p/itme?pid=DREGT8EGVH3EZYMJ,104,10,4.1,FashFun,399,#N/A,Yes,Yes,Yes,Yes,#N/A
https://www.flipkart.com/product/p/itme?pid=DREGZ942QPGYW9KF,97 ,4 ,3.2,FashFun,399,Yes,Yes,Yes,Yes,Yes,#N/A
https://www.flipkart.com/product/p/itme?pid=DREGTWYJGESASNMW,97 ,4 ,3.2,FashFun,399,Yes,Yes,Yes,Yes,Yes,#N/A
https://www.flipkart.com/product/p/itme?pid=RUGG3ZDZX44MRREZ,94 ,5 ,3.2,Serein,389,Yes,Yes,Yes,Yes,Yes,Yes
https://www.flipkart.com/product/p/itme?pid=JUMG37HZGYHVJTYX,93 ,7 ,3.8,Serein,449,Yes,#N/A,#N/A,#N/A,Yes,#N/A
https://www.flipkart.com/product/p/itme?pid=JUMFS93G37ZPET5Z,91 ,18 ,3.7,Serein,449,#N/A,#N/A,#N/A,Yes,#N/A,#N/A
https://www.flipkart.com/product/p/itme?pid=RUGG9UD4H7YFQYHY,91 ,4 ,3.4,Serein,389,#N/A,Yes,#N/A,#N/A,Yes,#N/A
https://www.flipkart.com/product/p/itme?pid=DREG4G4CEWGGNZ7S,90 ,12 ,3.4,Serein,399,Yes,Yes,Yes,Yes,Yes,#N/A
https://www.flipkart.com/product/p/itme?pid=DREHYUN3HJGBAQD8,103 ,3 ,4.2,FashFun,499,Yes,Yes,Yes,Yes,Yes,#N/A
https://www.flipkart.com/product/p/itme?pid=DREH543GZWRGU5HX,103 ,3 ,4.2,FashFun,499,Yes,Yes,Yes,Yes,Yes,#N/A
https://www.flipkart.com/product/p/itme?pid=DREGKPE8AWTBJD6F,86,11,3.9,FashFun,489,#N/A,#N/A,#N/A,#N/A,Yes,#N/A
https://www.flipkart.com/product/p/itme?pid=NSTGHY4DXGYG2GFP,85 ,7 ,3.5,FashFun,499,#N/A,Yes,#N/A,#N/A,#N/A,#N/A
https://www.flipkart.com/product/p/itme?pid=DREHFSFXAD9TZ8MV,83 ,3 ,3.5,FashFun,499,Yes,Yes,Yes,Yes,Yes,#N/A
https://www.flipkart.com/product/p/itme?pid=DREGZ942ZPRRBENE,81 ,6 ,4.3,FashFun,339,Yes,Yes,Yes,Yes,Yes,#N/A
https://www.flipkart.com/product/p/itme?pid=ETHGRSZ6CXXYGG3V,80 ,10 ,3.8,FashFun,700,Yes,Yes,Yes,Yes,Yes,#N/A
https://www.flipkart.com/product/p/itme?pid=ETHGRSZ5HZXYAQAZ,80 ,10 ,3.8,FashFun,700,Yes,Yes,Yes,Yes,Yes,#N/A
https://www.flipkart.com/product/p/itme?pid=SHTGKFF3YABGJBCD,75 ,7 ,4,FashFun,399,#N/A,#N/A,#N/A,#N/A,Yes,#N/A
https://www.flipkart.com/product/p/itme?pid=AZTGWGYFDKBZHXPF,72,18,4,FashFun,399,#N/A,#N/A,#N/A,#N/A,Yes,#N/A
https://www.flipkart.com/product/p/itme?pid=DREGXM3PAZM6BSYN,87 ,15 ,4.2,FashFun,619,Yes,Yes,Yes,Yes,#N/A,#N/A
https://www.flipkart.com/product/p/itme?pid=DREHYUZ2XPQGNDBX,87 ,15 ,4.2,FashFun,619,Yes,Yes,Yes,Yes,#N/A,#N/A
https://www.flipkart.com/product/p/itme?pid=AZTH48ZQSG6HWHPB,77,12,3.7,FashFun,599,Yes,Yes,Yes,Yes,Yes,#N/A
https://www.flipkart.com/product/p/itme?pid=AZTH5Q8TF6RXYD6A,77,12,3.7,FashFun,599,Yes,Yes,Yes,Yes,Yes,#N/A
https://www.flipkart.com/product/p/itme?pid=DREGJFEYFUGBE2GZ,65 ,11 ,3.7,FashFun,399,Yes,Yes,Yes,Yes,Yes,#N/A
https://www.flipkart.com/product/p/itme?pid=TOPG35DAJB5NFZ2V,63 ,2 ,3.9,Serein,399,Yes,Yes,Yes,Yes,Yes,#N/A
https://www.flipkart.com/product/p/itme?pid=DREGEYU5KTBGUQP6,62 ,5 ,4.2,Serein,499,Yes,#N/A,Yes,Yes,Yes,#N/A
https://www.flipkart.com/product/p/itme?pid=DREGTAGZHNDQGFZA,62 ,15 ,4.4,FashFun,399,Yes,Yes,Yes,Yes,Yes,#N/A
https://www.flipkart.com/product/p/itme?pid=JUMGPZDZJFSGZQQY,65 ,6 ,3.6,FashFun,449,Yes,Yes,Yes,Yes,Yes,#N/A
https://www.flipkart.com/product/p/itme?pid=JUMHYUNPXBMZYWFT,65 ,6 ,3.6,FashFun,449,Yes,Yes,Yes,Yes,Yes,#N/A
https://www.flipkart.com/product/p/itme?pid=JUMHYUNPHHZMRQXG,65 ,6 ,3.6,FashFun,449,Yes,Yes,Yes,Yes,Yes,#N/A
https://www.flipkart.com/product/p/itme?pid=SHTFNVDUZZVGUTYK,59 ,8 ,3.3,Serein,299,#N/A,#N/A,Yes,#N/A,#N/A,#N/A
