2024-12-28 18:18:10,725 - INFO - Extracted Data for https://www.flipkart.com/product/p/itme?pid=TOPFN865GRRZHGJB: Ratings=1665 , Reviews=171 , Product Rating=3.6, Brand=Serein, Price=399, Sizes={'XS': 'Yes', 'S': 'Yes', 'M': 'Yes', 'L': '#N/A', 'XL': '#N/A', 'XXL': '#N/A'}
2024-12-28 18:18:11,306 - INFO - Extracted Data for https://www.flipkart.com/product/p/itme?pid=DREGWJ7C6TZ7QTXZ: Ratings=1180 , Reviews=131 , Product Rating=3.7, Brand=FashFun, Price=499, Sizes={'XS': 'Yes', 'S': 'Yes', 'M': 'Yes', 'L': 'Yes', 'XL': 'Yes', 'XXL': '#N/A'}
2024-12-28 18:18:11,877 - INFO - Extracted Data for https://www.flipkart.com/product/p/itme?pid=DREHFYQJT3DTJJJB: Ratings=1180 , Reviews=131 , Product Rating=3.7, Brand=FashFun, Price=399, Sizes={'XS': 'Yes', 'S': 'Yes', 'M': 'Yes', 'L': 'Yes', 'XL': 'Yes', 'XXL': '#N/A'}
2024-12-28 18:18:12,487 - INFO - Extracted Data for https://www.flipkart.com/product/p/itme?pid=DREH3BZXZ33YVGSK: Ratings=1180 , Reviews=131 , Product Rating=3.7, Brand=FashFun, Price=499, Sizes={'XS': 'Yes', 'S': 'Yes', 'M': 'Yes', 'L': 'Yes', 'XL': 'Yes', 'XXL': '#N/A'}
2024-12-28 18:18:13,085 - INFO - Extracted Data for https://www.flipkart.com/product/p/itme?pid=DREH546TPBSMVTHX: Ratings=1180 , Reviews=131 , Product Rating=3.7, Brand=FashFun, Price=399, Sizes={'XS': 'Yes', 'S': 'Yes', 'M': 'Yes', 'L': 'Yes', 'XL': 'Yes', 'XXL': '#N/A'}
2024-12-28 18:18:13,693 - INFO - Extracted Data for https://www.flipkart.com/product/p/itme?pid=DREH543GT54B6B4K: Ratings=1180 , Reviews=131 , Product Rating=3.7, Brand=FashFun, Price=399, Sizes={'XS': 'Yes', 'S': 'Yes', 'M': 'Yes', 'L': 'Yes', 'XL': 'Yes', 'XXL': '#N/A'}
2024-12-28 18:18:14,289 - INFO - Extracted Data for https://www.flipkart.com/product/p/itme?pid=DREH543GSCFYANK2: Ratings=1180 , Reviews=131 , Product Rating=3.7, Brand=FashFun, Price=399, Sizes={'XS': 'Yes', 'S': 'Yes', 'M': 'Yes', 'L': 'Yes', 'XL': 'Yes', 'XXL': '#N/A'}
2024-12-28 18:18:15,092 - INFO - Extracted Data for https://www.flipkart.com/product/p/itme?pid=DREH546TGGMKEY9S: Ratings=1180 , Reviews=131 , Product Rating=3.7, Brand=FashFun, Price=399, Sizes={'XS': 'Yes', 'S': 'Yes', 'M': 'Yes', 'L': 'Yes', 'XL': 'Yes', 'XXL': '#N/A'}
2024-12-28 18:18:15,818 - INFO - Extracted Data for https://www.flipkart.com/product/p/itme?pid=DREH543GYTRYJQUZ: Ratings=1180 , Reviews=131 , Product Rating=3.7, Brand=FashFun, Price=449, Sizes={'XS': 'Yes', 'S': 'Yes', 'M': 'Yes', 'L': 'Yes', 'XL': 'Yes', 'XXL': '#N/A'}
2024-12-28 18:18:16,350 - INFO - Extracted Data for https://www.flipkart.com/product/p/itme?pid=DREH3FRPGTQEY3ZZ: Ratings=1180 , Reviews=131 , Product Rating=3.7, Brand=FashFun, Price=499, Sizes={'XS': 'Yes', 'S': 'Yes', 'M': 'Yes', 'L': 'Yes', 'XL': 'Yes', 'XXL': '#N/A'}
2024-12-28 18:18:16,907 - INFO - Extracted Data for https://www.flipkart.com/product/p/itme?pid=DREG2MJZVZN9V2QB: Ratings=947 , Reviews=68 , Product Rating=3.8, Brand=Serein, Price=339, Sizes={'XS': 'Yes', 'S': 'Yes', 'M': 'Yes', 'L': 'Yes', 'XL': 'Yes', 'XXL': '#N/A'}
2024-12-28 18:18:17,450 - INFO - Extracted Data for https://www.flipkart.com/product/p/itme?pid=DREG2MJYVPJZG5BG: Ratings=947 , Reviews=68 , Product Rating=3.8, Brand=Serein, Price=339, Sizes={'XS': 'Yes', 'S': 'Yes', 'M': 'Yes', 'L': 'Yes', 'XL': 'Yes', 'XXL': '#N/A'}
2024-12-28 18:18:18,028 - INFO - Extracted Data for https://www.flipkart.com/product/p/itme?pid=RUGFKGE5Z3MXZT7W: Ratings=884 , Reviews=99 , Product Rating=3.9, Brand=Serein, Price=389, Sizes={'XS': 'Yes', 'S': 'Yes', 'M': 'Yes', 'L': 'Yes', 'XL': 'Yes', 'XXL': 'Yes'}
2024-12-28 18:18:18,614 - INFO - Extracted Data for https://www.flipkart.com/product/p/itme?pid=TOPGXN8GG9XHB5QF: Ratings=802 , Reviews=59 , Product Rating=4.3, Brand=FashFun, Price=609, Sizes={'XS': 'Yes', 'S': 'Yes', 'M': 'Yes', 'L': 'Yes', 'XL': 'Yes', 'XXL': '#N/A'}
2024-12-28 18:18:19,177 - INFO - Extracted Data for https://www.flipkart.com/product/p/itme?pid=TOPHYVXUHQXVKMHF: Ratings=802 , Reviews=59 , Product Rating=4.3, Brand=FashFun, Price=609, Sizes={'XS': 'Yes', 'S': 'Yes', 'M': 'Yes', 'L': 'Yes', 'XL': 'Yes', 'XXL': '#N/A'}
2024-12-28 18:18:19,822 - INFO - Extracted Data for https://www.flipkart.com/product/p/itme?pid=TOPH49YKAZY2KZ7F: Ratings=802 , Reviews=59 , Product Rating=4.3, Brand=FashFun, Price=609, Sizes={'XS': 'Yes', 'S': 'Yes', 'M': 'Yes', 'L': 'Yes', 'XL': 'Yes', 'XXL': '#N/A'}
2024-12-28 18:18:20,409 - INFO - Extracted Data for https://www.flipkart.com/product/p/itme?pid=KRTFGWCEDXC856HR: Ratings=642 , Reviews=95 , Product Rating=3.8, Brand=Serein, Price=425, Sizes={'XS': 'Yes', 'S': 'Yes', 'M': 'Yes', 'L': 'Yes', 'XL': 'Yes', 'XXL': 'Yes'}
2024-12-28 18:18:20,969 - INFO - Extracted Data for https://www.flipkart.com/product/p/itme?pid=DREFWJHM7HCGZHZV: Ratings=592 , Reviews=67 , Product Rating=4.2, Brand=Serein, Price=339, Sizes={'XS': '#N/A', 'S': '#N/A', 'M': '#N/A', 'L': '#N/A', 'XL': 'Yes', 'XXL': '#N/A'}
2024-12-28 18:18:22,099 - INFO - Extracted Data for https://www.flipkart.com/product/p/itme?pid=RUGG2MJXPE5ZUZGX: Ratings=584 , Reviews=58 , Product Rating=3.4, Brand=Serein, Price=#N/A, Sizes={'XS': '#N/A', 'S': '#N/A', 'M': '#N/A', 'L': '#N/A', 'XL': '#N/A', 'XXL': '#N/A'}
2024-12-28 18:18:22,703 - INFO - Extracted Data for https://www.flipkart.com/product/p/itme?pid=DREG3ARFSKN29PBH: Ratings=520 , Reviews=53 , Product Rating=3.8, Brand=Serein, Price=339, Sizes={'XS': 'Yes', 'S': 'Yes', 'M': 'Yes', 'L': '#N/A', 'XL': '#N/A', 'XXL': '#N/A'}
2024-12-28 18:18:23,249 - INFO - Extracted Data for https://www.flipkart.com/product/p/itme?pid=DREGMFNMWFFM6HZQ: Ratings=449, Reviews=36, Product Rating=4, Brand=FashFun, Price=489, Sizes={'XS': '#N/A', 'S': '#N/A', 'M': '#N/A', 'L': 'Yes', 'XL': '#N/A', 'XXL': '#N/A'}
2024-12-28 18:18:23,835 - INFO - Extracted Data for https://www.flipkart.com/product/p/itme?pid=DREGGCVTPFTTXEUG: Ratings=339, Reviews=29, Product Rating=3.6, Brand=FashFun, Price=489, Sizes={'XS': 'Yes', 'S': 'Yes', 'M': 'Yes', 'L': 'Yes', 'XL': '#N/A', 'XXL': '#N/A'}
2024-12-28 18:18:24,455 - INFO - Extracted Data for https://www.flipkart.com/product/p/itme?pid=DREGMFKYVPHEYX4S: Ratings=330, Reviews=31, Product Rating=3.7, Brand=FashFun, Price=399, Sizes={'XS': '#N/A', 'S': '#N/A', 'M': '#N/A', 'L': '#N/A', 'XL': 'Yes', 'XXL': '#N/A'}
2024-12-28 18:18:25,030 - INFO - Extracted Data for https://www.flipkart.com/product/p/itme?pid=AZTGUNM4ACGGX66N: Ratings=330, Reviews=31, Product Rating=3.7, Brand=FashFun, Price=399, Sizes={'XS': '#N/A', 'S': '#N/A', 'M': '#N/A', 'L': 'Yes', 'XL': '#N/A', 'XXL': '#N/A'}
2024-12-28 18:18:25,555 - INFO - Extracted Data for https://www.flipkart.com/product/p/itme?pid=DREGDF7GAQRKHFMF: Ratings=329 , Reviews=24 , Product Rating=3.7, Brand=Serein, Price=339, Sizes={'XS': 'Yes', 'S': 'Yes', 'M': '#N/A', 'L': '#N/A', 'XL': '#N/A', 'XXL': '#N/A'}
2024-12-28 18:18:26,078 - INFO - Extracted Data for https://www.flipkart.com/product/p/itme?pid=SHTGRMFKNDWMDGMK: Ratings=284 , Reviews=23 , Product Rating=4, Brand=FashFun, Price=299, Sizes={'XS': 'Yes', 'S': 'Yes', 'M': 'Yes', 'L': 'Yes', 'XL': 'Yes', 'XXL': '#N/A'}
2024-12-28 18:18:26,727 - INFO - Extracted Data for https://www.flipkart.com/product/p/itme?pid=SHTHFSFNTQPWB3VW: Ratings=284 , Reviews=23 , Product Rating=4, Brand=FashFun, Price=299, Sizes={'XS': 'Yes', 'S': 'Yes', 'M': 'Yes', 'L': 'Yes', 'XL': 'Yes', 'XXL': '#N/A'}
2024-12-28 18:18:27,201 - INFO - Extracted Data for https://www.flipkart.com/product/p/itme?pid=JUMG7K6A6K5W28BU: Ratings=276 , Reviews=21 , Product Rating=4, Brand=Serein, Price=#N/A, Sizes={'XS': '#N/A', 'S': '#N/A', 'M': '#N/A', 'L': '#N/A', 'XL': '#N/A', 'XXL': '#N/A'}
